Name,Address,Product,Draw,Value,Postal_Code,Latitude,Longitude
MAC'S CONVENIENCE STORES,7887 TECUMSEH RD E N8T-1G3 WINDSOR,Lotto Max,06-Jun-2023,35000000.0,N8T-1G3,42.313731,-82.932204
SHELL,4685 CENTRAL PKY E L4Z-2E4 MISSISSAUGA,Lotto 649,01-Mar-2023,5000000.0,L4Z-2E4,43.6165,-79.641336
SHOP RITE CONVENIENCE,5051 BASELINE RD L0E-1R0 SUTTON WEST,Lotto 649,17-May-2023,5000000.0,L0E-1R0,44.301238,-79.370775
SOBEYS #678 - CAMBRIDGE,130 CEDAR ST N1S-1W4 CAMBRIDGE,Lotto 649,01-Feb-2023,5000000.0,N1S-1W4,43.352634,-80.328386
ESSO GAS STATION,1645 NORTH SERVICE RD L2A-6T8 FORT ERIE,Ontario 49,01-Mar-2023,2000000.0,L2A-6T8,42.9206366,-78.9671472
AVONDALE FITCH/WELLAND,256 FITCH ST L3C-4W5 WELLAND,Lotto 649,11-Mar-2023,1666666.7,L3C-4W5,42.994697,-79.270271
CNC VARIETY & GAS STATION,195 WATERLOO ST N3A-1S4 NEW HAMBURG,Lotto 649,11-Mar-2023,1666666.7,N3A-1S4,43.382435,-80.713769
B & J VARIETY,209 GRAHAM ST N0L-2P0 WEST LORNE,Encore - Ontario 49,11-Mar-2023,1000000.0,N0L-2P0,42.603012,-81.60515
BECKER'S 80416A,7164 AIRPORT RD L4T-2H2 MISSISSAUGA,Encore - Lotto Max,17-Mar-2023,1000000.0,L4T-2H2,43.706848,-79.647288
CANADIAN TIRE GAS BAR MIDLAND,9315 HWY 93 L4R-4K4 MIDLAND,Lotto 649,03-Jun-2023,1000000.0,L4R-4K4,44.740107,-79.912902
CIRCLE K # 1763,682824 ROAD 68 N0M-2M0 THAMESFORD,Lotto 649,29-Mar-2023,1000000.0,N0M-2M0,43.055496,-81.006378
CIRCLE K #1734,2660 MAJOR MACKENZIE DR L6A-1C1 MAPLE,Lotto 649,05-Jul-2023,1000000.0,L6A-1C1,43.852304,-79.526775
EGANVILLE FOODLAND,8754 HWY 60 K0J-1T0 EGANVILLE,Lotto Max,19-May-2023,1000000.0,K0J-1T0,45.554451,-77.111455
ESSO,1000 ONTARIO RD L3B-5E4 WELLAND,Lotto Max,06-Jun-2023,1000000.0,L3B-5E4,42.974416,-79.235789
ESSO/CIRCLE K #52477,1500 FINCH AVE E M2J-4Y6 NORTH YORK,Lotto 649,25-Mar-2023,1000000.0,M2J-4Y6,43.793138,-79.354514
ESSO/CIRCLE K #52528,5008 HURONTARIO ST L5R-1B2 MISSISSAUGA,Lotto Max,26-May-2023,1000000.0,L5R-1B2,43.606682,-79.653705
ESSO/CIRCLE K #52732,7001 WOODBINE AVE L3R-1A3 MARKHAM,Lotto 649,13-May-2023,1000000.0,L3R-1A3,43.814524,-79.348235
FUSION SUPERMARKET,1150 MORNINGSIDE AVE M1B-3A4 SCARBOROUGH,Encore - Daily Grand,19-Jun-2023,1000000.0,M1B-3A4,43.800514,-79.200564
LUCKY 8 LOTTERY,4300 STEELES AVE E L3R-0Y5 MARKHAM,Encore - Lotto Max,19-May-2023,1000000.0,L3R-0Y5,43.826189,-79.306286
METRO #140- SOUTH GEORGETOWN,367 MOUNTAINVIEW RD S L7G-5X3 GEORGETOWN,Lotto 649,28-Jun-2023,1000000.0,L7G-5X3,43.632364,-79.877133
